                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.60484,                0.39176,                 1.0026,                0.90316,                0.92795,                0.97483,                0.60085,                 1.3306,                 0.6328,                 1.1669,              0.0013202,              0.0013202,              0.0013202
                    106,                0.57988,                0.39914,                0.99554,                0.96929,                0.94223,                0.99064,                 0.6388,                  1.265,                0.53703,                 1.1515,              0.0013136,              0.0013136,              0.0013136
                    107,                0.58393,                0.40995,                0.98624,                0.96631,                0.97512,                0.99045,                0.63466,                 1.2872,                0.51908,                 1.1613,               0.001307,               0.001307,               0.001307
                    108,                0.57917,                0.39558,                0.99555,                 0.9506,                0.93532,                0.98159,                0.59993,                 1.4262,                0.64791,                 1.2336,              0.0013004,              0.0013004,              0.0013004
                    109,                0.56071,                 0.3832,                0.98012,                0.94566,                0.95234,                0.97807,                0.61593,                 1.3345,                0.63742,                 1.2106,              0.0012938,              0.0012938,              0.0012938
                    110,                0.57126,                0.39247,                0.98249,                0.95196,                0.97512,                0.98552,                0.61798,                  1.278,                0.53604,                 1.1728,              0.0012872,              0.0012872,              0.0012872
                    111,                 0.5705,                0.39165,                0.98731,                0.97335,                0.95522,                0.99129,                0.59432,                 1.4094,                0.56862,                 1.2125,              0.0012806,              0.0012806,              0.0012806
                    112,                0.55847,                0.39108,                0.99742,                0.95465,                0.95025,                0.98453,                0.63382,                 1.2542,                0.58405,                 1.1342,               0.001274,               0.001274,               0.001274
                    113,                0.56649,                0.37877,                0.97821,                0.96309,                0.96517,                0.98988,                  0.647,                 1.2553,                0.56936,                  1.124,              0.0012674,              0.0012674,              0.0012674
                    114,                0.60052,                0.38617,                0.98696,                0.96892,                0.97015,                0.99071,                0.60067,                 1.3981,                0.56192,                 1.1964,              0.0012608,              0.0012608,              0.0012608
                    115,                0.58134,                0.38777,                0.99059,                0.95893,                0.93532,                0.98124,                0.62057,                 1.2967,                0.61067,                 1.1697,              0.0012542,              0.0012542,              0.0012542
                    116,                0.57173,                0.37824,                0.98906,                0.97813,                 0.9403,                0.97635,                0.59707,                 1.3355,                0.60439,                 1.2302,              0.0012476,              0.0012476,              0.0012476
